Method, Cyclomatic Complexity
testAndCardinalityWithDifferentLengthFilters, 1
testIntersectionNullColl2, 1
testNoMappingReturnsEmptyCol, 1
testIterableSortedMap, 1
testIntersectionNullColl1, 1
testNegativeOffset, 1
testCOLLECTIONS_474_nonNullValues, 1
exceptionFactory, 1
testCollectionRetainAll, 3
testBidiRemoveByTailMapEntrySet, 2
testXorCardinality, 1
testGetValuesAsBag, 1
testTransformedBag_decorateTransform, 1
setupList, 1
testMapGetWithTransformer, 1
checkIndicesRange, 4
bulkTestMultiValuedMapValues, 1
testDuplicateListEmptyList, 1
visitInsertCommand, 1
testSetProperty, 1
testSetUniqueList, 1
toString, 1
nullArgumentTests, 1
testArrayListValuedHashMap, 1
testForEachPairReturnFalseEarly, 1
transformedNavigableSet, 2
getComparableObjectsOrdered, 1
forAllDoFailure, 1
testPredicatedCollectionNullPredicate, 1
isEqualSet, 3
emptyIterable, 1
testFilterNullParameters, 1
createNode, 1
addNodeAfter, 1
testGetWithNull, 1
objectGraphIterator, 1
testForEachButLast, 1
addNodeToCache, 2
testToListWithHashtable, 1
testValueList_setByIndex, 2
testDisjunctionAsSymmetricDifference, 1
testMultiKeyRemoveAll4, 2
testMultiKeyRemoveAll3, 2
testMultiKeyRemoveAll2, 2
testMultiKeyRemoveAll1, 2
testPermutationResultSize, 4
newKeyReference, 3
areEqualElementsDistinguishable, 1
doWhileClosure, 1
testBagIteratorFailNoMore, 2
testBidiRemoveByKeySet, 2
testSingletonPatternInSerialization, 1
testEmptyListIteratorIsIndeedEmpty, 2
test, 1
destroyEntry, 1
testInternalState_CursorNextNextRemoveIndex1ByList, 1
bulkTestMultiValuedMapKeys, 1
segmentFor, 1
transformedQueue, 2
testGetLongValue, 1
testSetEquals, 1
uniquePredicate, 1
testTransformedSortedMap, 1
testSizeWithPutRemove, 1
testIteratorConstructorIteration_Simple, 2
isBitSet, 2
testCopy, 1
testMapPutIfAbsent, 13
testPredicatedMap, 1
testInternalState_Buckets, 2
testClear, 1
transformedSortedBag, 2
testUnmodifiableCollection, 1
replaceAll, 1
testDecoratedMap, 1
testTransformedIterator, 1
load, 1
hashCode, 1
getLongIndex, 1
subSet, 1
testWhileClosure, 1
assertNotRemoveFromCollection, 1
testListGetByIndexBoundsChecking2, 1
testBidiClearByTailMap, 2
testGetValuesAsSet, 1
wrappedCollection, 1
testUnsafeDeSerialization, 1
removeMultiKey, 3
expectTrueWhenBothObjectsAreSame, 1
testRemoveAllViaEntriesIterator, 2
comparableComparator, 1
getMutator, 1
testInvokeClosure, 1
testFromIndexExtractor, 1
testCanonicalFullCollectionExists, 1
testMapIteratorSetValue2, 1
testMapIteratorSetValue1, 1
testPutAll_Map_array, 1
testNullTransformer, 1
testIllegalDecorate, 1
testMapIteratorSetValue3, 1
keyList, 1
processIndices, 1
append, 1
removeAllNodes, 1
testEmptyArrayToGetInstance, 1
uniqueIterable, 1
testLinkedListAddFirst, 2
headSet, 1
asBloomFilterArray, 1
testSubListAddMiddle, 1
testNegativeMax, 1
testCompareEquals, 1
testListAddByIndexBoundsChecking, 1
testGetFromObjectArray, 1
balance, 9
testPut4, 1
testPut3, 1
generateLongArray, 1
isLazyMapTest, 1
testPut2, 1
testPut1, 1
testSetCount, 1
testCompareGreaterOrEqual, 1
longestCommonSubsequence, 1
testPut6, 1
testPut5, 1
init, 2
testElementCreationWithFactory, 1
testDebugPrintSelfReference, 1
asTransformer, 1
testPrototypeFactoryPublicBad, 1
testSubMap, 1
skipSerializedCanonicalTests, 1
getComponentType, 4
testAlreadyWritableMap, 1
uniqueSet, 1
evaluate, 1
tailMap, 1
synchronizedSortedMap, 1
testIsEqualCollectionNullEquator, 1
testGetString, 2
testToListIteratorNull, 1
getDepth, 1
testEnsureDuplicateObjectsCauseException, 1
testSet, 2
assertCollectResult, 1
skip, 1
testCollatedIteratorNull, 1
testClosureSanityTests, 1
verbosePrintInternal, 8
testEqualsCompatibleInstance, 1
testKeyContainsValue, 3
setCardinality, 2
setInitialCapacity, 1
testRemoveFirst, 1
testDebugAndVerbosePrintNullMap, 1
testEitherPredicate, 1
testMapPutAll, 5
testMultiSetIteratorFailDoubleRemove, 2
testEmptyListIterator, 1
testCollectionToArray, 6
numberOfBitMaps, 1
testBounded, 1
trimToSize, 1
setExtendCheck, 1
testCreateSetBasedOnList, 1
max, 2
anyValueSet, 3
getLong, 1
testConstructorsByArray, 1
testMultiSetContains, 2
toListIterator, 1
testPredicatedQueue, 1
checkProbability, 2
createSetBasedOnList, 2
testInvokerTransformer, 1
testMultiSetIteratorRemoveProtectsInvariants, 2
checkModCount, 2
testFilterInverse, 1
testPredicatedCollectionNullColl, 1
selectValue, 2
testEmptyMapCompatibility, 1
isSetSupported, 1
rehash, 9
testSeen, 1
testPopulateMap, 1
main, 1
testSortOrder, 1
testFirstKey, 1
nullValue, 1
getFreq, 1
makeUniqueTestCollection, 1
testPrototypeFactoryPublicSerialization, 1
testListSetByIndex, 1
find, 1
getExpectedIndices, 1
testNonePredicateEx6, 1
testCursorAdd, 1
testGetNode, 1
testNonePredicateEx4, 1
testNonePredicateEx5, 1
testNonePredicateEx2, 1
indexOf, 4
testNonePredicateEx3, 1
testEmptyListSerialization, 2
testNonePredicateEx1, 1
equalPredicate, 2
getEnumeration, 1
testMultiKeyGet, 7
testEmptyBounded, 1
collectionSortedBag, 1
calculateThreshold, 1
onePredicate, 3
getRightChild, 1
fill, 3
bulkTestSortedSetSubSet, 1
applyDefaultFunction, 2
makeTestCollection, 1
newIdentityHashSet, 1
testVerbosePrintNullStream, 1
entries, 1
getConfirmedMap, 1
cleanup, 1
expectFalseWhenFixedOrderComparatorIsComparedWithNull, 1
testAndCardinality, 1
ensureCapacityForAdd, 2
purgeStaleEntries, 1
bulkTestMultiSetUniqueSet, 1
createCollection, 1
removeEmptyTarget, 2
defaultIfNull, 1
testGetObject, 1
testConstantTransformer, 1
estimateUnion, 1
ignoredTests, 1
getOtherNonNullElements, 1
allPredicate, 3
isXmlTest, 1
maxSize, 1
comparatorPredicate, 1
testFullBagCompatibility, 2
testEntryIteratorSetValue2, 1
getCardinalityMap, 2
testEntryIteratorSetValue1, 1
testCharacteristics, 1
transform, 1
testDuplicateListSingleElement, 1
testEntryIteratorSetValue3, 1
testListConstructor, 1
putAll, 1
orderedSet, 1
testMapHashCode, 1
testListComparatorChain, 1
testBasics, 1
purgeBeforeRead, 1
constantFactory, 2
orPredicate, 1
testExhaustivity, 2
disjunction, 1
selectRejected, 1
testPredicateSanityTests, 1
testFactory_decorateTransform, 1
removeLine2, 1
bulkTestMapKeySet, 1
createVerifyList, 1
testStoreToXMLOutputStream, 1
createHasher, 1
testGetBooleanValue, 2
testAsIterableFor, 1
removeIfExpired, 2
doRedBlackInsert, 9
lastEntry, 1
createEntry, 1
testRemoveAllViaEntryIterator, 2
writeExternalFormToDisk, 1
testDisjunctionAsUnionMinusIntersection, 1
testCollections265, 1
testGetProperty, 1
testListIteratorRemove, 1
testListSetByIndexBoundsChecking2, 1
testValuesClearChangesMap, 2
testCollections261, 1
testPrefixMapClearUsingRemove, 1
testKeys, 3
testIteration_RootNull, 1
getClosures, 1
testSelect, 1
uniqueIndices, 1
testAddedObjectsCanBeRetrievedByKey, 1
createPredicatedQueue, 1
makeArrayIterator, 1
removeAll, 1
testListSubListFailFastOnAdd, 3
applyDefaultValue, 1
unmodifiableOrderedMap, 2
lookupKey, 1
bulkTestSubList, 2
orCardinality, 1
removeCount, 6
asIterable, 1
testStoreToOutputStream, 1
testEntries, 2
testRemovingElementsAndIteratingForward, 1
makeTestList, 1
assertComparatorYieldsOrder, 6
testSetValuedMapRemove, 1
onPurge, 2
execute, 1
extractSingleton, 2
testAppendElements, 1
testMapToString, 1
testRemoveComposited, 1
loopingIterator, 1
testSizeIsEmpty_List, 1
testSize_Other, 1
unique, 1
testPutIfAbsent, 3
testDebugPrintNullStream, 1
testRemoveFromComposited, 1
loadFromXML, 1
isHashSetValue, 1
lookupValue, 1
createSubListListIterator, 1
nodeListIterator, 1
permutations, 2
pollLast, 1
getNewSampleValues, 4
testForEachIndexPredicates, 1
testIsNotEmptyWithEmptyMap, 1
min, 2
partition, 1
removeFromIndex, 1
testListHashCode, 1
testNullIsFalsePredicateEx1, 1
synchronizedList, 1
getBoolean, 1
stringValueTransformer, 1
testGetByteValue, 1
getFullElements, 1
validateExpiration, 1
testIteratorExhausted, 1
testHeadMap, 1
setList, 1
testHashSetValuedHashMap_2, 1
testInvokerPredicate2Ex1, 1
verifyKeySet, 1
selectKey, 2
chainedIterable, 1
isBlack, 1
testInvokerPredicate2Ex2, 1
getResult, 1
testInvokerPredicate2Ex3, 1
growthList, 1
testLazyMap, 1
pushbackIterator, 1
setVerboseName, 1
testPopulateMultiMap, 1
testCountMatches, 1
testToStringDelimiter, 1
getOrDefault, 1
testVerbosePrint, 1
testGetKeysArrayConstructorCloned, 1
testFilter, 3
testDuplicateListMultipleDuplicatesInListReverse, 1
testPreviousChangesNext, 1
transformerClosure, 2
testIteratorConstructorIteration_Empty, 1
treeIterator, 1
testSerializeDeserializeCheckComparator, 2
allMatch, 1
testSetValue, 1
expectFalseWhenBothComparatorsWithDifferentItems, 1
reverseArray, 2
loop, 1
testForEachPairCompleteMatch, 1
testRemoveRangeEndLowStart, 1
doRedBlackDeleteFixup, 9
testGetShortValue, 1
verifyElementsInPredicate, 4
testPrototypeFactoryNull, 1
testEstimateLargeN, 3
testReadableMap, 4
testContainsAnyInArrayNullColl1, 1
copyInto, 1
testInternalState_CursorNextNextAddIndex1ByList, 1
testContainsAnyInArrayNullColl2, 1
testEmptyAfterMergeWithNothing, 1
createTimedLayeredFilter, 1
testDuplicateSequencedSetMultipleDuplicates, 1
removeValue, 1
testNodeIterator, 1
testSetHashCode, 1
ensureCapacity, 5
testCloneTransformer, 1
testValuesRemoveChangesMap, 3
bulkTestMapIterator, 1
getStartIndex, 1
computeIfAbsent, 1
testValuesListIteratorMethods, 1
supportsAdd, 1
purge, 4
loadOrderedKeysReverse, 1
testSubListWithTransformer, 1
testGetNegative, 1
unmodifiableQueue, 2
getNodeFromCache, 2
testForEachBloomFilter, 3
removeExternalEntry, 5
checkBound, 3
testListListIteratorPreviousRemoveNext, 3
testContainsWithEquator, 1
doReadObject, 2
testMaxGreaterThanSize, 1
truePredicate, 1
testFours, 1
getSampleCountPerKey, 1
mask, 1
getFalseClosure, 1
characteristics, 1
inToRange, 1
testSynchronizedBag, 1
apply, 1
testReverseArrayNull, 1
testComparatorIsSerializable, 1
switchTransformer, 3
testBidiPut, 2
testMapIteratorUnsupportedSet, 1
testBidiInverse, 1
tearDown, 1
testMergeWithBadHasher, 1
unmodifiableBoundedCollection, 6
testSearch, 1
testMultiSetRemoveAll, 2
getPredicates, 1
testAlreadyReadableMap, 1
testAddThenRemove, 2
coerce, 1
mod, 1
testInternalState_CursorNextNextPreviousSetByIterator, 1
testEmptyCellExtractor, 1
getLastNodeReturned, 2
nullHighComparator, 2
processCells, 3
zip, 1
testDuplicates, 1
testBagContainsAll, 2
neverAdvance, 1
testSubtractNullColl2, 1
