Package,Class Name,TCC
org.apache.commons.collections4.map.AbstractHashedMap.KeySetIterator,KeySetIterator,0.00
org.apache.commons.collections4.map.AbstractHashedMap.Values,Values,0.00
org.apache.commons.collections4.map.AbstractHashedMap.ValuesIterator,ValuesIterator,0.00
org.apache.commons.collections4.map.AbstractOrderedMapDecorator,AbstractOrderedMapDecorator,0.00
org.apache.commons.collections4.map.ReferenceIdentityMap,ReferenceIdentityMap,0.00
org.apache.commons.collections4.map.FixedSizeMap,FixedSizeMap,0.00
org.apache.commons.collections4.map.AbstractInputCheckedMapDecorator,AbstractInputCheckedMapDecorator,0.00
org.apache.commons.collections4.map.AbstractInputCheckedMapDecorator.EntrySet,EntrySet,0.00
org.apache.commons.collections4.map.AbstractInputCheckedMapDecorator.EntrySetIterator,EntrySetIterator,0.00
org.apache.commons.collections4.map.AbstractInputCheckedMapDecorator.MapEntry,MapEntry,0.00
org.apache.commons.collections4.map.FixedSizeSortedMap,FixedSizeSortedMap,0.00
org.apache.commons.collections4.map.CompositeMap,CompositeMap,0.00
org.apache.commons.collections4.map.EntrySetToMapIteratorAdapter,EntrySetToMapIteratorAdapter,0.00
org.apache.commons.collections4.map.AbstractMapDecorator,AbstractMapDecorator,0.00
org.apache.commons.collections4.map.DefaultedMap,DefaultedMap,0.00
org.apache.commons.collections4.map.LRUMap,LRUMap,0.00
org.apache.commons.collections4.map.PredicatedSortedMap,PredicatedSortedMap,0.00
org.apache.commons.collections4.map.Flat3Map,Flat3Map,0.00
org.apache.commons.collections4.map.Flat3Map.EntryIterator,EntryIterator,0.00
org.apache.commons.collections4.map.Flat3Map.EntrySet,EntrySet,0.00
org.apache.commons.collections4.map.Flat3Map.EntrySetIterator,EntrySetIterator,0.00
org.apache.commons.collections4.map.Flat3Map.FlatMapEntry,FlatMapEntry,0.00
org.apache.commons.collections4.map.Flat3Map.FlatMapIterator,FlatMapIterator,0.00
org.apache.commons.collections4.map.Flat3Map.KeySet,KeySet,0.00
org.apache.commons.collections4.map.Flat3Map.KeySetIterator,KeySetIterator,0.00
org.apache.commons.collections4.map.Flat3Map.Values,Values,0.00
org.apache.commons.collections4.map.Flat3Map.ValuesIterator,ValuesIterator,0.00
org.apache.commons.collections4.map.MultiValueMap,MultiValueMap,0.00
org.apache.commons.collections4.map.MultiValueMap.ReflectionFactory,ReflectionFactory,0.00
org.apache.commons.collections4.map.MultiValueMap.Values,Values,0.00
org.apache.commons.collections4.map.MultiValueMap.ValuesIterator,ValuesIterator,0.00
org.apache.commons.collections4.map.ConcurrentReferenceHashMap,ConcurrentReferenceHashMap,0.02
org.apache.commons.collections4.map.ConcurrentReferenceHashMap.Builder,Builder,0.00
org.apache.commons.collections4.map.ConcurrentReferenceHashMap.CachedEntryIterator,CachedEntryIterator,0.00
org.apache.commons.collections4.map.ConcurrentReferenceHashMap.EntryIterator,EntryIterator,0.00
org.apache.commons.collections4.map.ConcurrentReferenceHashMap.EntrySet,EntrySet,0.00
org.apache.commons.collections4.map.ConcurrentReferenceHashMap.HashEntry,HashEntry,0.00
org.apache.commons.collections4.map.ConcurrentReferenceHashMap.HashIterator,HashIterator,0.00
org.apache.commons.collections4.map.ConcurrentReferenceHashMap.InitializableEntry,InitializableEntry,0.00
org.apache.commons.collections4.map.ConcurrentReferenceHashMap.KeyIterator,KeyIterator,0.00
org.apache.commons.collections4.map.ConcurrentReferenceHashMap.KeySet,KeySet,0.00
